Scenario,Year,Control,Stored_Value,Independent_Value,Difference,Authority,Formula,Status
BEAR,2030,NET_PROFIT_LINK,42797.02377011,42797.02377011,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NET_PROFIT_LINK,PASS
BEAR,2030,EPS_RECOMPUTE,5.70677545,5.70677545,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EPS_RECOMPUTE,PASS
BEAR,2030,PPE_ROLLFORWARD,55442.31260511,55442.31260511,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,PPE_ROLLFORWARD,PASS
BEAR,2030,DEBT_ROLLFORWARD,81529.56366877,81529.56366877,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,DEBT_ROLLFORWARD,PASS
BASE,2026,SEGMENT_RECONCILIATION,485985.02041372,485985.02041372,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,SEGMENT_RECONCILIATION,PASS
BASE,2026,BS_IDENTITY,641287.42962745,641287.42962745,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,BS_IDENTITY,PASS
BASE,2026,CASH_ROLLFORWARD,86281.63794270,86281.63794270,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_ROLLFORWARD,PASS
BASE,2026,CASH_TO_BS_LINK,104103.12922431,104103.12922431,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_TO_BS_LINK,PASS
BASE,2026,EQUITY_ROLLFORWARD,180466.77884222,180466.77884222,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EQUITY_ROLLFORWARD,PASS
BASE,2026,NCI_ROLLFORWARD,13767.89603522,13767.89603522,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NCI_ROLLFORWARD,PASS
BASE,2026,NET_PROFIT_LINK,43760.59372438,43760.59372438,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NET_PROFIT_LINK,PASS
BASE,2026,EPS_RECOMPUTE,5.83526322,5.83526322,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EPS_RECOMPUTE,PASS
BASE,2026,PPE_ROLLFORWARD,45315.16697407,45315.16697407,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,PPE_ROLLFORWARD,PASS
BASE,2026,DEBT_ROLLFORWARD,76371.78330758,76371.78330758,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,DEBT_ROLLFORWARD,PASS
BASE,2027,SEGMENT_RECONCILIATION,520972.75625170,520972.75625170,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,SEGMENT_RECONCILIATION,PASS
BASE,2027,BS_IDENTITY,673410.20154296,673410.20154296,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,BS_IDENTITY,PASS
BASE,2027,CASH_ROLLFORWARD,89827.18288298,89827.18288298,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_ROLLFORWARD,PASS
BASE,2027,CASH_TO_BS_LINK,108931.70471700,108931.70471700,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,CASH_TO_BS_LINK,PASS
BASE,2027,EQUITY_ROLLFORWARD,194328.70898502,194328.70898502,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EQUITY_ROLLFORWARD,PASS
BASE,2027,NCI_ROLLFORWARD,14359.46856478,14359.46856478,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NCI_ROLLFORWARD,PASS
BASE,2027,NET_PROFIT_LINK,45820.48063907,45820.48063907,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,NET_PROFIT_LINK,PASS
BASE,2027,EPS_RECOMPUTE,6.10993916,6.10993916,-0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,EPS_RECOMPUTE,PASS
BASE,2027,PPE_ROLLFORWARD,46664.56156400,46664.56156400,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,PPE_ROLLFORWARD,PASS
BASE,2027,DEBT_ROLLFORWARD,71939.50397103,71939.50397103,0.00000000,FROZEN_INPUT_PLUS_FORMULA_REGISTRY,DEBT_ROLLFORWARD,PASS
