Attack_ID,Target,Baseline_SHA,Mutation,Closure_Rehash_Performed,Expected_Result,Actual_Result,Semantic_Control_Reached,Valid_Test,False_Accept
FR-R3-ATK-030,model/H3B_MODEL_LONG.csv,5eafd54840766c723afb204c5b7d2d76f96b27d13067a64da2cc4d76f395b508,NCI bridge,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-031,model/H3B_CASH_TAXONOMY_RECONCILIATION.csv,1ba6c015869b1d8e1bba7c78874819a64e1487ef3902046d570d46cce390eaa3,cash taxonomy,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-032,model/MATERIAL_METRIC_SEMANTICS_R3.csv,2aae73e76073d5c39e2bdf30451e0802bdd9c277c6221cd203c2b9709d8a85a2,formula semantics,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-033,documents/MIDEA_GROUP_FINAL_VALUATION_REPORT_R3.docx,d95f4dc9b54e627ac53c895d66ddf013bd2313ab65c058f66818254d540dc8f7,valuation report,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-ATK-034,verification_inputs/registries/H1_IDENTITY_DEFINITION_REGISTRY.csv,172f4455dd2376981bb5b364c2696f8308ba0229d0782f976fb2048824096ae3,H1 identity definitions,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,,True,False
FR-R3-NWC-001,workpapers/FINAL_OPERATING_NWC_FORMULA.json,aa907b1fa5816f78ff066d5d4131d6019d8e58639fa532ca1fe3e33e9be92155,remove notes receivable from NWC,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,True,True,False
FR-R3-NWC-002,workpapers/FINAL_OPERATING_NWC_FORMULA.json,aa907b1fa5816f78ff066d5d4131d6019d8e58639fa532ca1fe3e33e9be92155,add notes receivable improperly,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,True,True,False
FR-R3-NWC-003,workpapers/FINAL_OPERATING_NWC_FORMULA.json,aa907b1fa5816f78ff066d5d4131d6019d8e58639fa532ca1fe3e33e9be92155,remove receivables financing,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,True,True,False
FR-R3-NWC-004,workpapers/FINAL_OPERATING_NWC_FORMULA.json,aa907b1fa5816f78ff066d5d4131d6019d8e58639fa532ca1fe3e33e9be92155,make H3B receivables financing non-operating while H5 remains operating,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,True,True,False
FR-R3-NWC-005,model/H5_EV_TO_EQUITY_BRIDGE.csv,eecfd2fcfa80a01cc66e8dc4587a12c0fcfff2ca4ec344f7d66b0c1bcabfd67e,double-count receivables financing in FCFF and EV bridge,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,True,True,False
FR-R3-NWC-006,workpapers/FINAL_OPERATING_NWC_FORMULA.json,aa907b1fa5816f78ff066d5d4131d6019d8e58639fa532ca1fe3e33e9be92155,invert NWC sign,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,True,True,False
FR-R3-NWC-007,workpapers/FINAL_OPERATING_NWC_FORMULA.json,aa907b1fa5816f78ff066d5d4131d6019d8e58639fa532ca1fe3e33e9be92155,use current-year NWC instead of delta NWC,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,True,True,False
FR-R3-NWC-008,workpapers/FINAL_OPERATING_NWC_FORMULA.json,aa907b1fa5816f78ff066d5d4131d6019d8e58639fa532ca1fe3e33e9be92155,omit one operating NWC account,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,True,True,False
FR-R3-NWC-009,workpapers/FINAL_OPERATING_NWC_FORMULA.json,aa907b1fa5816f78ff066d5d4131d6019d8e58639fa532ca1fe3e33e9be92155,add financing account to NWC,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,True,True,False
FR-R3-NWC-010,workpapers/FINAL_OPERATING_NWC_FORMULA.json,aa907b1fa5816f78ff066d5d4131d6019d8e58639fa532ca1fe3e33e9be92155,change taxes-payable treatment,RELEASE_MANIFEST_AND_FINAL_AUTHORITY_REFRESHED,ZIP_SHA256_MISMATCH,ZIP_SHA256_MISMATCH,True,True,False
