H1_Fact_ID,Year,Economic_Period,Metric_ID,Canonical_Metric_ID,Source_Fact_ID,Value,Unit,Analytical_Value,Analytical_Unit,Conversion_Factor,Accounting_Basis,Scope,Fact_Type,Original_or_Restated,Transformation,Source_ID,Source_Report_Period
2024::ORIGINAL_REPORTED_2024_CAS::IS_NCI_COMPREHENSIVE,2024,2024A,IS_NCI_COMPREHENSIVE,IS_NCI_COMPREHENSIVE,ORIGINAL_REPORTED_2024_CAS::IS_NCI_COMPREHENSIVE,-145267,RMB_THOUSAND,-145.267,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_NCI_OCI,2024,2024A,IS_NCI_OCI,IS_NCI_OCI,ORIGINAL_REPORTED_2024_CAS::IS_NCI_OCI,-365244,RMB_THOUSAND,-365.244,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_NCI_PROFIT,2024,2024A,IS_NCI_PROFIT,IS_NCI_PROFIT,ORIGINAL_REPORTED_2024_CAS::IS_NCI_PROFIT,219977,RMB_THOUSAND,219.977,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_NET_PROFIT,2024,2024A,IS_NET_PROFIT,IS_NET_PROFIT,ORIGINAL_REPORTED_2024_CAS::IS_NET_PROFIT,38757214,RMB_THOUSAND,38757.214,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_NONOPERATING_EXPENSE,2024,2024A,IS_NONOPERATING_EXPENSE,IS_NONOPERATING_EXPENSE,ORIGINAL_REPORTED_2024_CAS::IS_NONOPERATING_EXPENSE,-204302,RMB_THOUSAND,-204.302,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_NONOPERATING_INCOME,2024,2024A,IS_NONOPERATING_INCOME,IS_NONOPERATING_INCOME,ORIGINAL_REPORTED_2024_CAS::IS_NONOPERATING_INCOME,500296,RMB_THOUSAND,500.296,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_OCI,2024,2024A,IS_OCI,IS_OCI,ORIGINAL_REPORTED_2024_CAS::IS_OCI,-718981,RMB_THOUSAND,-718.981,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_OPERATING_COST,2024,2024A,IS_OPERATING_COST,IS_OPERATING_COST,ORIGINAL_REPORTED_2024_CAS::IS_OPERATING_COST,-299584935,RMB_THOUSAND,-299584.935,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_OPERATING_PROFIT,2024,2024A,IS_OPERATING_PROFIT,IS_OPERATING_PROFIT,ORIGINAL_REPORTED_2024_CAS::IS_OPERATING_PROFIT,46393752,RMB_THOUSAND,46393.752,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
2024::ORIGINAL_REPORTED_2024_CAS::IS_OPERATING_REVENUE,2024,2024A,IS_OPERATING_REVENUE,IS_OPERATING_REVENUE,ORIGINAL_REPORTED_2024_CAS::IS_OPERATING_REVENUE,407149600,RMB_THOUSAND,407149.6,RMB_MILLION,0.001,CAS,CONSOLIDATED,SOURCE,ORIGINAL,UNIT_NORMALIZATION_ONLY,,2024A
